sample_index,target_x,target_y,gaze_x,gaze_y,error_px,error_visual_angle_deg
113,960.0,108.0,960.3818777759781,100.83860313141231,7.171571358161577,
114,960.0,108.0,957.9258323659509,99.35585598195598,8.889510514017237,
115,960.0,108.0,955.258670556447,99.33375720100301,9.878459856853695,
116,960.0,108.0,951.5179071700012,101.0548266513973,10.962724643940406,
117,960.0,108.0,946.0960413963254,102.05898569834213,15.120043511352744,
118,960.0,108.0,942.6262310672407,99.02171218156386,19.556520628158534,
119,960.0,108.0,941.7166330702988,93.35853684674922,23.423363327116174,
120,960.0,108.0,942.765335473583,86.26615264144918,27.737948416256774,
121,960.0,108.0,944.9564682825613,79.39607194708645,32.31860991116167,
122,960.0,108.0,946.0690619582225,75.11010595369609,35.7185689117151,
123,960.0,108.0,946.2488405459019,72.80894823883617,37.782330663802945,
124,960.0,108.0,944.305401177992,73.51586283146412,37.88767805556539,
125,960.0,108.0,940.2655730255603,72.99644515745099,40.183285824143695,
126,960.0,108.0,938.6875058465226,70.52586693176777,43.1107069793292,
127,960.0,108.0,939.3538450028723,66.51095338640734,46.34225614997922,
128,960.0,108.0,942.8206600422782,62.575868415633245,48.56419927865426,
129,960.0,108.0,947.1431377576253,57.69403529017174,51.92291394082085,
130,960.0,108.0,950.331448516676,55.39509921098777,53.48603999930735,
131,960.0,108.0,952.3096154889492,56.07068451937061,52.49567430002728,
132,960.0,108.0,951.4742650350071,58.16130866841136,50.562667160056655,
133,960.0,108.0,949.2992073999849,58.68664508224203,50.461014015904425,
134,960.0,108.0,948.8541927322779,59.53350024913268,49.73158571521755,
135,960.0,108.0,949.1601434863475,60.95115509356016,48.28142806780683,
136,960.0,108.0,950.4537509501439,60.36643389181349,48.580731685564935,
137,960.0,108.0,951.9069651466767,59.94095939038874,48.73570146672118,
138,960.0,108.0,954.4807593209164,64.28287640946559,44.06414543258172,
139,960.0,108.0,956.4343929298235,70.22386872442611,37.94403310045315,
140,960.0,108.0,955.0290143448273,75.51962531666092,32.85856719265202,
141,960.0,108.0,953.9565907147601,79.49222165816342,29.141314688534752,
142,960.0,108.0,953.2042115335851,84.21536342831092,24.73644432265049,
143,960.0,108.0,952.9939741595778,86.99289793824023,22.14458703859378,
144,960.0,108.0,953.9766200043002,88.09553480032869,20.79588520495154,
145,960.0,108.0,955.7845072448387,89.1377169298572,19.327599483304002,
146,960.0,108.0,955.1553936926659,90.86828632910292,17.803534019251995,
147,960.0,108.0,950.9876173723751,93.14786068292696,17.372653306863114,
148,960.0,108.0,947.0547870308419,92.96449733786179,19.840485858970897,
149,960.0,108.0,944.3764101098061,90.50853586317372,23.453099554362723,
150,960.0,108.0,942.4639662835887,90.91943785523105,24.47974839912431,
151,960.0,108.0,942.6347270855824,93.17489147448565,22.832795408917477,
152,960.0,108.0,942.5757139839609,95.81903108997768,21.25986234093876,
153,960.0,108.0,943.4903962460505,95.80795497176656,20.523473830784454,
154,960.0,108.0,945.9553878540369,96.14507907714429,18.379071805118375,
155,960.0,108.0,948.9820822209034,97.19334893551274,15.433023664095002,
156,960.0,108.0,951.7785766248983,96.34918741397539,14.259496352513246,
157,960.0,108.0,952.6439039179062,97.17875357860143,13.084782141160291,
158,960.0,108.0,953.4308495053804,97.24163660977229,12.605400471907005,
159,960.0,108.0,954.662807964462,97.63012127418877,11.6627614059554,
160,960.0,108.0,954.5339113893515,96.79739226626873,12.46501282531699,
161,960.0,108.0,955.5649888328684,95.27539530426596,13.47534373273198,
162,960.0,108.0,954.1616863504269,93.90731784239735,15.254166534622735,
163,960.0,108.0,951.3408065021871,91.5726716560028,18.56983437066845,
164,960.0,108.0,948.6366071084503,89.96292816305947,21.31812980677889,
165,960.0,108.0,947.8475348272527,89.43929956985815,22.185175460931184,
166,960.0,108.0,948.6624502759466,87.0605024066371,23.811816251765283,
167,960.0,108.0,950.746854994786,84.2622133750184,25.477503926811053,
168,960.0,108.0,952.1240747156412,81.14969115134971,27.981588310042554,
169,960.0,108.0,952.0067202032283,80.08789591674994,29.0340847326666,
170,960.0,108.0,952.4062192121885,78.57479512832458,30.389277523386536,
171,960.0,108.0,952.2592903572223,76.75965205088356,32.185057491880535,
172,960.0,108.0,950.4566215906824,77.6895485513347,31.777343162783858,
173,960.0,108.0,949.4844926942313,79.23639090511274,30.62549758062969,
174,960.0,108.0,948.8143735848066,79.85178438125051,30.289276663860505,
175,960.0,108.0,949.542598805873,79.11020990255595,30.724212139765353,
176,960.0,108.0,950.962996053669,77.12441441604024,32.1709375909131,
177,960.0,108.0,952.3085513827115,76.83749057550955,32.09766931513635,
178,960.0,108.0,952.87467203623,77.65148088759683,31.17375355819673,
179,960.0,108.0,953.3443666344517,79.75229655195737,29.021202690191167,
180,1728.0,108.0,1697.5447958333002,0.0,112.2119399210056,
181,1728.0,108.0,1701.8748214672173,3.3285735374939156,107.88249381185804,
182,1728.0,108.0,1713.259587789948,11.391661216253645,97.72640827676703,
183,1728.0,108.0,1726.681461296727,21.757907257486043,86.25217159538887,
184,1728.0,108.0,1738.3808871947315,26.594250434366796,82.06496744221818,
185,1728.0,108.0,1748.8097840870387,33.0091920360247,77.82460017782931,
186,1728.0,108.0,1752.1089780084967,38.43576065239913,73.62354390155693,
187,1728.0,108.0,1757.5116481147957,41.355080665326,72.88677964882744,
188,1728.0,108.0,1763.2871750042214,46.351061922932594,71.03362785194514,
189,1728.0,108.0,1766.5844711304214,53.30681489721417,66.93359327797903,
190,1728.0,108.0,1768.9999412101647,56.719285336633384,65.65597364766275,
191,1728.0,108.0,1771.6500484215196,61.442103023579314,63.819781400973234,
192,1728.0,108.0,1771.0149264642373,66.76517477365536,59.58686692695741,
193,1728.0,108.0,1767.160982882155,71.6849371371407,53.40754975684482,
194,1728.0,108.0,1765.2639040465,76.45014175466072,48.82614156461444,
195,1728.0,108.0,1764.5749490504081,79.43930499822405,46.40517424840058,
196,1728.0,108.0,1761.1486416671553,83.10188906914802,41.457790248667074,
197,1728.0,108.0,1757.4581256968756,86.29657756627535,36.589885418099186,
198,1728.0,108.0,1755.5847861738712,88.78150338485229,33.619503869103106,
199,1728.0,108.0,1754.7932431448319,88.8566496020212,32.92940544069806,
200,1728.0,108.0,1752.2138586251651,86.32403172653937,32.49859304818526,
201,1728.0,108.0,1748.0139238542151,85.84163945809135,29.85883604475459,
202,1728.0,108.0,1744.4832965021976,84.74756121512767,28.502192424857338,
203,1728.0,108.0,1740.590318665495,82.82729044833535,28.14571779633949,
204,1728.0,108.0,1740.9103600294561,81.07898916575598,29.856627747079237,
205,1728.0,108.0,1743.818540141449,81.40946310344154,30.93998811657606,
206,1728.0,108.0,1746.5564309231459,81.26853396602799,32.54093429714155,
