sample_index,target_x,target_y,gaze_x,gaze_y,error_px
355,192.0,540.0,336.02234513699966,499.4187133579211,149.63046723273848
356,192.0,540.0,344.4143710871138,493.02862237428775,159.4880899313102
357,192.0,540.0,360.0484166120072,485.89089948052066,176.54479625531266
358,192.0,540.0,377.18222148892767,478.33004194263924,195.1810412985106
359,192.0,540.0,391.23361450991933,470.5874514941971,210.97899194175133
360,960.0,540.0,927.8604787399054,495.38681386431614,54.98440873561567
361,960.0,540.0,927.2683142585306,495.1078735080481,55.55777418550639
362,960.0,540.0,927.866186548078,495.9002782947335,54.56525837421537
363,960.0,540.0,934.0972827748764,498.3632831831407,49.03638390962419
364,960.0,540.0,943.4402347297336,502.3256763642059,41.153134597754246
365,960.0,540.0,947.0448559257902,508.61860347291423,33.95037269270727
366,960.0,540.0,948.5195904791926,515.2576327129725,27.27608002869204
367,960.0,540.0,948.2608534803509,522.9985910544917,20.660480806171936
368,960.0,540.0,945.065562823938,529.3487753566432,18.34355473099464
369,960.0,540.0,944.7458430826022,532.0257652698218,17.21271979649283
370,960.0,540.0,946.9470677292604,531.5662572962424,15.540497316936142
371,960.0,540.0,947.5715007620886,529.7913513973783,16.083659396995884
372,960.0,540.0,948.965514413376,528.8843971837824,15.66258274133984
373,960.0,540.0,949.9647211885363,527.8724896810817,15.741134881554238
374,960.0,540.0,949.3563589100772,528.2372034873343,15.863495120857563
375,960.0,540.0,947.7677451183521,528.2931602748561,16.931572751513887
376,960.0,540.0,947.3493246416034,525.5111439176478,19.234514228299524
377,960.0,540.0,946.9937435662299,522.0225457316825,22.188996561143387
378,960.0,540.0,947.7286158635592,518.3894686002095,24.851598258571258
379,960.0,540.0,948.5068026436654,512.8976903066401,29.438559342916978
380,960.0,540.0,950.0379548745024,506.4869781828766,34.96233651227331
381,960.0,540.0,952.869063846658,502.4181976687455,38.252347861125145
382,960.0,540.0,954.7284690456868,499.47809225733454,40.86335822845907
383,960.0,540.0,951.5295840256805,496.4602436800598,44.356040481289334
384,960.0,540.0,946.9772769809675,494.6111926632223,47.22007143456649
385,960.0,540.0,943.6435021967685,491.53982208527157,51.146103115626026
386,960.0,540.0,942.076792883401,487.55522094843036,55.42288519296394
387,960.0,540.0,942.2519952464646,484.11758161542105,58.6330653918132
388,960.0,540.0,939.4815692071236,478.47218876712265,64.85890499623508
389,960.0,540.0,937.174967906739,473.94187822982013,69.89032509483918
390,960.0,540.0,934.3093767658122,470.6359238340226,73.96879872297848
391,960.0,540.0,931.7337301319976,466.09532722552404,79.1257396183638
392,960.0,540.0,930.5189025576256,460.28259209152856,84.9941187968462
393,960.0,540.0,931.2741634690719,454.7512997896515,89.95840467658078
394,960.0,540.0,933.3188006144079,451.7512099913615,92.1940092340196
395,960.0,540.0,934.1110027228239,454.3036396335473,89.52154131869358
396,960.0,540.0,936.2286245793085,458.8935086353665,84.51828932765275
397,960.0,540.0,937.4764957321142,464.8102098866306,78.49084521011356
398,960.0,540.0,938.6366781036297,469.80937238636756,73.36971941641562
399,960.0,540.0,937.3077240305347,474.291172880158,69.51682781988585
400,960.0,540.0,935.6231181852071,479.19321399021993,65.51104938750078
401,960.0,540.0,934.863432529726,483.50564261055536,61.83412844889089
402,960.0,540.0,934.4691640796052,487.34414888457025,58.518904975096945
